Currency Code (N3),Currency Code (A3),Currency Name
764,THB,Baht
702,SGD,Singapore Dollar
458,MYR,Malaysian Ringgit
840,USD,US Dollar
360,IDR,Indonesian Rupiah
901,TWD,Taiwan Dollar
344,HKD,Hong Kong Dollar
608,PHP,Philippine Peso
104,MMK,Myanmar Kyat
978,EUR,Euro
392,JPY,Yen
36,AUD,Australian Dollar
50,BDT,Bangladeshi Taka
124,CAD,Canadian Dollar
756,CHF,Swiss Franc
156,CNY,Yuan Renminbi
208,DKK,Danish Krone
826,GBP,Pound Sterling
332,HTG,Gourde
116,KHR,Riel
410,KRW,Korean Won
418,LAK,Kip
578,NOK,Norwegian Krone
554,NZD,New Zealand Dollar
643,RUB,Russian Ruble
752,SEK,Swedish Krona
704,VND,Viet Num Dong
886,YER,Yemeni Rial
